MYO16	MYO16
LSG1	LSG1
PARP3	PARP3
TNC	TNC
THAP3	THAP3
FAM65C	FAM65C
TDP1	TDP1
AIFM2	AIFM2
SPATA7	SPATA7
MED17	MED17
RETSAT	RETSAT
CAPG	CAPG
AP2S1	AP2S1
USH2A	USH2A
ZPBP	ZPBP
TG	TG
ADAM28	ADAM28
BARX2	BARX2
DCUN1D1	DCUN1D1
JADE2	JADE2
LCP2	LCP2
TRIT1	TRIT1
ADRB1	ADRB1
GUCA2B	GUCA2B
CUL7	CUL7
CTNNA1	CTNNA1
PHKA2	PHKA2
CNTLN	CNTLN
EPHA3	EPHA3
HSPA5	HSPA5
DSG2	DSG2
GEMIN8	GEMIN8
OFD1	OFD1
GPM6B	GPM6B
PREX2	PREX2
WDR37	WDR37
YTHDC2	YTHDC2
CTPS2	CTPS2
ATP6V1H	ATP6V1H
POLR2B	POLR2B
FAM214A	FAM214A
ARAP2	ARAP2
TPR	TPR
CP	CP
KIAA0556	KIAA0556
DTNBP1	DTNBP1
XK	XK
ANO2	ANO2
C12orf4	C12orf4
SCML1	SCML1
WWC3	WWC3
ARHGAP6	ARHGAP6
FAM184B	FAM184B
MAP4	MAP4
GOPC	GOPC
USP28	USP28
HDAC9	HDAC9
TSPAN17	TSPAN17
NOP16	NOP16
CC2D2A	CC2D2A
RRM2B	RRM2B
ZNF800	ZNF800
TNFRSF17	TNFRSF17
SNX29	SNX29
LMO3	LMO3
MRPS10	MRPS10
GUCA1A	GUCA1A
RSF1	RSF1
VPS13D	VPS13D
CELF2	CELF2
FAM120A	FAM120A
R3HDM1	R3HDM1
COL9A2	COL9A2
KITLG	KITLG
ERCC8	ERCC8
ADAMTS6	ADAMTS6
H6PD	H6PD
VAMP3	VAMP3
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
EPN3	EPN3
SRD5A2	SRD5A2
LTBP1	LTBP1
RCN1	RCN1
ELN	ELN
RFC2	RFC2
ARID1B	ARID1B
CLPTM1L	CLPTM1L
NEDD4L	NEDD4L
FOXP3	FOXP3
PPP1R3F	PPP1R3F
HEXB	HEXB
PTCD2	PTCD2
KIAA2022	KIAA2022
JKAMP	JKAMP
DKK3	DKK3
ARHGEF5	ARHGEF5
NFE2L3	NFE2L3
MCUR1	MCUR1
LIMA1	LIMA1
LETMD1	LETMD1
SLC4A8	SLC4A8
LAMC3	LAMC3
PTGER3	PTGER3
TNIP3	TNIP3
MAPK9	MAPK9
COL23A1	COL23A1
BCAR1	BCAR1
FAM160A2	FAM160A2
HERPUD1	HERPUD1
HOMER3	HOMER3
RAD51	RAD51
POLQ	POLQ
PIK3CB	PIK3CB
CYBA	CYBA
THOC3	THOC3
HEBP2	HEBP2
MPHOSPH9	MPHOSPH9
PLEKHA5	PLEKHA5
PRSS8	PRSS8
SIKE1	SIKE1
RRP12	RRP12
FNIP2	FNIP2
MSMO1	MSMO1
TTC17	TTC17
FSTL4	FSTL4
FOXN3	FOXN3
METTL24	METTL24
AKR7A2	AKR7A2
MRTO4	MRTO4
NNAT	NNAT
USE1	USE1
MCF2L2	MCF2L2
NRIP2	NRIP2
LAMA3	LAMA3
AP5M1	AP5M1
ANAPC4	ANAPC4
KCNQ1	KCNQ1
TRAPPC3	TRAPPC3
THRAP3	THRAP3
PHPT1	PHPT1
ENTPD2	ENTPD2
LY75	LY75
ARID4B	ARID4B
OPN3	OPN3
SDCCAG8	SDCCAG8
PTPRN	PTPRN
HHAT	HHAT
KIF1B	KIF1B
FOXC1	FOXC1
TBC1D22A	TBC1D22A
SYNE2	SYNE2
PLEKHH1	PLEKHH1
ATP9A	ATP9A
CHRDL2	CHRDL2
FAM168A	FAM168A
RELT	RELT
GALC	GALC
